@@ | 2019-04-17 17:30:49,783 | 607671 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 3 批次数据插入完成 ===== 
@@ | 2019-04-17 17:30:59,272 | 617160 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 4 批次数据插入完成 ===== 
@@ | 2019-04-17 17:31:09,969 | 627857 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 5 批次数据插入完成 ===== 
@@ | 2019-04-17 17:31:22,652 | 640540 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 6 批次数据插入完成 ===== 
@@ | 2019-04-17 17:31:33,674 | 651562 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 7 批次数据插入完成 ===== 
@@ | 2019-04-17 17:31:38,397 | 656285 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 8 批次数据插入完成 ===== 
@@ | 2019-04-17 17:31:57,330 | 675218 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 9 批次数据插入完成 ===== 
@@ | 2019-04-17 17:32:11,189 | 689077 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 10 批次数据插入完成 ===== 
@@ | 2019-04-17 17:32:24,341 | 702229 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 11 批次数据插入完成 ===== 
@@ | 2019-04-17 17:32:36,751 | 714639 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 12 批次数据插入完成 ===== 
@@ | 2019-04-17 17:32:45,606 | 723494 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 13 批次数据插入完成 ===== 
@@ | 2019-04-17 17:32:57,753 | 735641 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 14 批次数据插入完成 ===== 
@@ | 2019-04-17 17:33:11,076 | 748964 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 15 批次数据插入完成 ===== 
@@ | 2019-04-17 17:33:23,231 | 761119 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 16 批次数据插入完成 ===== 
@@ | 2019-04-17 17:33:31,330 | 769218 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 17 批次数据插入完成 ===== 
@@ | 2019-04-17 17:33:44,141 | 782029 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 18 批次数据插入完成 ===== 
@@ | 2019-04-17 17:33:57,230 | 795118 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 19 批次数据插入完成 ===== 
@@ | 2019-04-17 17:34:20,473 | 818361 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 20 批次数据插入完成 ===== 
@@ | 2019-04-17 17:34:20,474 | 818362 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713 ============ 2013-01-03插入完成  ============ 
@@ | 2019-04-17 17:34:20,474 | 818362 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -成功数:10596960 ,失败数:0 ,无值的tag数:4308 ,当前时间未创建的tag数:0 ,失败的tag数:0 
@@ | 2019-04-17 17:34:44,120 | 842008 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -localFilePath:/home/hbase/data ,hdfsFilePath:/2013/2713-2013-01-03.txt 
@@ | 2019-04-17 17:34:44,121 | 842009 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -本地路径下 /home/hbase/data/2013/2713-2013-01-03.txt 已删除！ 
@@ | 2019-04-17 17:35:01,718 | 859606 | [main] | INFO  | com.bl.source.file.CreateFileUtil | -2713-2013-01-04.txt 文件已创建！ 
@@ | 2019-04-17 17:35:01,830 | 859718 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 1 批次数据插入完成 ===== 
@@ | 2019-04-17 17:35:16,899 | 874787 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 2 批次数据插入完成 ===== 
@@ | 2019-04-17 17:35:27,597 | 885485 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 3 批次数据插入完成 ===== 
@@ | 2019-04-17 17:35:33,678 | 891566 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 4 批次数据插入完成 ===== 
@@ | 2019-04-17 17:35:49,880 | 907768 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 5 批次数据插入完成 ===== 
@@ | 2019-04-17 17:36:06,895 | 924783 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 6 批次数据插入完成 ===== 
@@ | 2019-04-17 17:36:11,448 | 929336 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 7 批次数据插入完成 ===== 
@@ | 2019-04-17 17:36:17,221 | 935109 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 8 批次数据插入完成 ===== 
@@ | 2019-04-17 17:36:29,404 | 947292 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 9 批次数据插入完成 ===== 
@@ | 2019-04-17 17:36:40,545 | 958433 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 10 批次数据插入完成 ===== 
@@ | 2019-04-17 17:36:56,269 | 974157 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 11 批次数据插入完成 ===== 
@@ | 2019-04-17 17:37:03,559 | 981447 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 12 批次数据插入完成 ===== 
@@ | 2019-04-17 17:37:24,442 | 1002330 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 13 批次数据插入完成 ===== 
@@ | 2019-04-17 17:37:36,128 | 1014016 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 14 批次数据插入完成 ===== 
@@ | 2019-04-17 17:37:55,240 | 1033128 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 15 批次数据插入完成 ===== 
@@ | 2019-04-17 17:38:08,638 | 1046526 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 16 批次数据插入完成 ===== 
@@ | 2019-04-17 17:38:15,874 | 1053762 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 17 批次数据插入完成 ===== 
@@ | 2019-04-17 17:38:30,347 | 1068235 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 18 批次数据插入完成 ===== 
@@ | 2019-04-17 17:38:44,054 | 1081942 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 19 批次数据插入完成 ===== 
@@ | 2019-04-17 17:39:07,122 | 1105010 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-04 ===== ,第 20 批次数据插入完成 ===== 
@@ | 2019-04-17 17:39:07,122 | 1105010 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713 ============ 2013-01-04插入完成  ============ 
